10-03-2015;Oriental;00:00-11:59;[C20];12:00-23:59;[C20, D20]
10-03-2015;Occidental;00:00-11:59;[D1];12:00-23:59;[D1, C1]
17-03-2015;Oriental;00:00-11:59;[C20, D20, G33];12:00-23:59;[C20, G33, B18]
17-03-2015;Occidental;00:00-11:59;[D1];12:00-23:59;[D1]
24-03-2015;Oriental;00:00-11:59;[C20, D20, E31];12:00-23:59;[C20, E31, F31]
24-03-2015;Occidental;00:00-11:59;[D1];12:00-23:59;[D1]
31-03-2015;Oriental;00:00-11:59;[C20, C31, C30];12:00-23:59;[C20, D30, C31]
31-03-2015;Occidental;00:00-11:59;[D1, D2];12:00-23:59;[D1, D2]
07-04-2015;Occidental;00:00-11:59;[F8, F10, F9];12:00-23:59;[D1, D2, F8]
07-04-2015;Oriental;00:00-11:59;[C20, D20, B20];12:00-23:59;[C20, D20, C19]
14-04-2015;Occidental;00:00-11:59;[D1, F9, E16];12:00-23:59;[D1, F9, F8]
14-04-2015;Oriental;00:00-11:59;[C20, D20, B18];12:00-23:59;[C20, D20, C19]
21-04-2015;Oriental;00:00-11:59;[D20, C20, D19];12:00-23:59;[C20, D20, D19]
21-04-2015;Occidental;00:00-11:59;[D1, D2, F9];12:00-23:59;[D2, E14, E16]
28-04-2015;Oriental;00:00-11:59;[D20, D19, C20];12:00-23:59;[D20, C20, D19]
28-04-2015;Occidental;00:00-11:59;[H8, J14, F7];12:00-23:59;[H8, G8, F8]
05-05-2015;Oriental;00:00-11:59;[D20, D19, D18];12:00-23:59;[D20, D19, F30]
05-05-2015;Occidental;00:00-11:59;[H8, G8, F6];12:00-23:59;[H8, G8, F8]
12-05-2015;Oriental;00:00-11:59;[G33, D20, C20];12:00-23:59;[G33, C20, D20]
12-05-2015;Occidental;00:00-11:59;[H8, F8, G8];12:00-23:59;[H8, F8, F6]
